frame_id,prompt,cause,effect,link_type,strength
1,A careless toss of a frisbee causes it to sail over the fence and land in a nearby garden,frisbee thrown,frisbee lands in garden,causal,0.712
1,"A sudden drop in temperature causes a nearby pool to freeze over, making it slippery for a cat to walk on",temperature drops,pool freezes,causal,0.754
1,"A careless swing of a golf club sends the ball flying off into the woods, where it gets lost in underbrush",club swings,ball gets lost,causal,0.740
1,A strong gust of wind lifts a nearby beach towel and sends it blowing across the sand,wind blows,towel blows away,causal,0.824
1,"A careless step causes a nearby chair to topple over, crushing a nearby decorative figurine",step taken,figurine crushed,causal,0.754
1,"A burst of steam from a kettle sends a nearby tea towel flying and wrapping around the light fixture, where it gets tangled",steam bursts forth,towel gets tangled,causal,0.759
1,"A sudden earthquake causes a nearby bookshelf to topple over, scattering books and decorations, which then get covered in dust",earthquake occurs,books and decorations dusty,causal,0.717
1,"A careless swing of a hammer sends the nail flying into the wall, leaving a small hole that gets filled with water",hammer swings,hole fills with water,causal,0.735
1,"A strong gust of wind lifts a nearby kite and sends it soaring high above the trees, where it gets caught in a tree branch",wind blows,kite gets stuck,causal,0.840
1,"A careless toss of a toy sailboat causes it to capsize in the bathtub, filling with water that then overflows onto the floor",sailboat tossed,water overflows,causal,0.768
1,"A sudden burst of water from a firehose knocks over a nearby streetlamp and extinguishes its light, which is then replaced by a new one",water bursts forth,streetlight replaced,causal,0.752
1,"A careless step causes a nearby picture frame to slip off the wall and fall to the floor, where it gets broken into pieces",step taken,frame breaks apart,causal,0.772
1,"A strong gust of wind lifts a nearby leaf and sends it swirling through the air, where it gets caught in a tree branch",wind blows,leaf gets stuck,causal,0.826
1,"A heavy book falls from a shelf, crushing a nearby vase",book falls,vase is crushed,causal,0.766
1,A dropped hammer bounces off a concrete floor with a loud clang,hammer drops,hammer clatters,causal,0.788
1,"A small rock tumbles down a rocky slope, picking up speed",rock rolls,rock gains speed,causal,0.761
1,"A rope ladder is pulled to the side, causing it to collapse",ladder is pulled,ladder collapses,causal,0.746
1,A burst of steam shoots out from a kettle as it boils,kettle boils,steam erupts,causal,0.764
1,"A small boat crashes through waves, sending spray high into the air",boat crashes,spray rises,causal,0.738
1,A pile of sand slowly slides down a inclined surface,sand is poured,sand flows,causal,0.740
1,A metal rod bends and flexes under the force of a powerful magnet,magnet applies force,rod bends,causal,0.772
1,"A burst pipe sprays water everywhere, soaking nearby objects",pipe bursts,water sprays,causal,0.761
1,"A large fan blows leaves off a lawn, sending them swirling through the air",fan turns on,leaves are blown away,causal,0.725
1,"A chain breaks apart, releasing its load of heavy objects",chain snaps,objects fall,causal,0.837
1,A block of ice slowly melts in the warm sun,ice is exposed to heat,ice melts,inhibits,0.655
1,"A tree branch sways violently in strong winds, threatening to break",wind blows,branch swings,causal,0.833
1,"A fire hose sprays water at a raging inferno, attempting to put it out",hose is turned on,water sprays,causal,0.714
1,A stack of boxes teeters precariously before finally toppling over,boxes are stacked,boxes fall,causal,0.720
1,"A ball of twine unwinds quickly, unraveling into a tangled mess",twine is unwound,twine unravels,causal,0.722
1,A rope wraps tightly around a post before finally loosening,rope is wrapped,rope unwinds,causal,0.763
1,"A small stone tumbles down a rocky cliff, picking up speed",stone rolls,stone gains speed,causal,0.736
1,A burst of air shoots out from an inflated balloon as it pops,balloon pops,air is released,causal,0.767
1,"A wire is stretched to its limits, eventually snapping with a loud crack",wire is stretched,wire breaks,causal,0.738
1,"A large wave crashes against the shore, sending spray high into the air",wave crashes,spray rises,causal,0.785
1,A small toy car falls off a table edge and rolls across the floor,car falls,car rolls,causal,0.782
1,A pile of dry leaves is blown away by a gust of wind,wind blows,leaves are blown away,causal,0.778
1,A metal pipe bends and flexes under the force of hydraulic pressure,pressure is applied,pipe bends,causal,0.730
1,A block of wood slowly splits apart as it dries out,wood dries,wood splits,inhibits,0.671
1,"A large fan blows debris off a dusty shelf, sending particles flying",fan turns on,debris is blown away,causal,0.754
1,A spring-loaded toy bounces back into shape after being compressed,toy is compressed,toy springs back,causal,0.720
1,"A small bag of flour bursts open, spilling its contents everywhere",bag opens,flour spills,causal,0.734
1,A rope wraps tightly around a tree trunk before finally loosening,rope is wrapped,rope unwinds,causal,0.793
1,"A large crate falls off a truck, crashing to the ground with a loud thud",crate falls,crate crashes,causal,0.750
1,A burst of steam shoots out from an overheated engine as it cools down,engine cools,steam erupts,causal,0.723
1,"A small ball bounces off a hard surface, rolling away in different directions",ball is dropped,ball bounces and rolls,causal,0.785
1,A small book falls off a shelf and lands with a soft thud on the floor,book falls,book lands softly,causal,0.722
1,"A small stone tumbles down a rocky slope, picking up speed",stone rolls,stone gains speed,causal,0.763
1,"A chain link breaks apart, releasing its load of heavy objects",chain snaps,objects fall,causal,0.818
1,A pile of sand slowly slides down an inclined surface,sand is poured,sand flows,causal,0.718
1,A falling book lands with a thud on a soft couch cushion,book falls,cushion compresses,causal,0.777
1,"A rolling marble hits the edge of a wooden table, bouncing away",marble rolls,table reflects bounce,causal,0.755
1,"A gentle stream flows over smooth river rocks, creating ripples",water flows,ripples form,causal,0.776
1,"A dropped vase lands on a thick rug, staying intact",vase falls,rug cushions fall,causal,0.712
1,A metal ball is caught by a magnet suspended from the ceiling,ball attracts,magnet holds,causal,0.714
1,A leaky faucet drips steadily into a waiting sink basin,water leaks,basin fills,causal,0.761
1,"A bookshelf teeters, precariously balanced by a single remaining shelf",bookshelf leans,books wobble,causal,0.756
1,A delicate flower stem bends under the weight of heavy raindrops,rain falls,petals droop,causal,0.812
1,"A thrown frisbee soars through the air, arcing towards a waiting catch",frisbee flies,catch awaits,causal,0.771
1,"A soft feather floats gently to the ground, settling in a quiet pool",feather falls,pool forms,causal,0.703
1,A small boat glides smoothly across calm lake water,boat sails,water reflects,causal,0.761
1,"A stack of wooden blocks tumbles, sending blocks rolling in all directions",blocks fall,chaos spreads,inhibits,0.700
1,"A small child's toy car crashes into a wall, leaving a dent",car crashes,wall dents,causal,0.760
1,A wire hanger is bent out of shape by the force of a falling weight,weight falls,hanger distorts,causal,0.733
1,A delicate egg yolk breaks apart in a pan of simmering water,egg drops,yolk spreads,causal,0.787
1,"A kite string gets tangled around a tree branch, holding fast",string wraps,branch holds,causal,0.799
1,A small stone skips across the surface of calm water,stone tosses,ripples spread,causal,0.774
1,"A fallen branch lies across a quiet stream, blocking the flow",branch falls,stream backs up,inhibits,0.715
1,A dropped key clatters loudly on the hard floor,key falls,noise echoes,causal,0.734
1,"A rope wraps tightly around a thick tree trunk, securing itself",rope wraps,trunk secures,causal,0.756
1,"A small container filled with sand is knocked over, spilling its contents",container tips,sand spills,causal,0.715
1,"A book lies open on a desk, held in place by a heavy object",object rests,pages stay flat,causal,0.795
1,A metal rod is bent and twisted into a unique shape,rod bends,shape forms,causal,0.749
1,"A small child's puzzle piece clicks into place, completing the picture",piece fits,picture completes,causal,0.726
1,"A wooden beam is supported by sturdy pillars, standing upright",beam stands,pillars hold,causal,0.759
1,A jar filled with juice is tightly sealed and placed in a fridge,jar seals,juice stays fresh,causal,0.775
1,"A small, delicate flower blooms in the warm sunlight",sunlight warms,petals unfold,causal,0.767
1,A ball of yarn unwinds slowly onto a waiting floor,yarn unwinds,threads spread,causal,0.729
1,"A wooden spoon is inserted into a jar, scraping the sides",spoon scrapes,jar cleans,causal,0.779
1,A small rock is balanced precariously on another larger one,rock balances,stability holds,causal,0.788
1,"A glass of water is placed on a smooth table, leaving no rings",glass sets,table stays dry,causal,0.720
1,"A small toy car crashes into a pile of soft blocks, causing them to topple",car crashes,blocks fall,inhibits,0.690
1,"A metal spring is compressed and released, bouncing back into shape",spring compresses,spring rebounds,causal,0.755
1,A small child's drawing is carefully rolled up and placed in a portfolio,drawing rolls,portfolio secures,causal,0.736
1,"A wooden dowel is pushed into a pile of soft fabric, holding it in place",dowel pushes,fabric stays flat,causal,0.747
1,"A small container filled with beads is knocked over, scattering its contents",container tips,beads spill,causal,0.731
1,"A delicate leaf falls from a tree branch, drifting gently to the ground",leaf falls,ground receives,causal,0.690
1,"A small block of wood is placed on top of a pile of soft fabric, staying put",block sits,fabric holds,inhibits,0.668
1,"A wire coat hanger is bent into a unique shape, holding its form",hanger bends,shape holds,causal,0.733
1,A small child's toy phone rings loudly on the floor,phone rings,noise echoes,causal,0.741
1,A metal pipe is bent and twisted into a unique shape,pipe bends,shape forms,causal,0.759
1,"A small container filled with sand is placed on a flat rock, staying put",container sets,rock stays dry,causal,0.730
1,"A wooden beam is placed across two sturdy pillars, standing upright",beam stands,pillars hold,causal,0.779
1,"A glass of water is poured into a waiting sink basin, filling it to the brim",water pours,basin fills,causal,0.723
1,A small child's building block tower teeters precariously before falling,tower leans,blocks fall,inhibits,0.686
1,"A metal rod is straightened and aligned, returning to its original shape",rod straightens,shape returns,causal,0.756
1,A small child's drawing is carefully unrolled and displayed on a wall,drawing unfurls,wall displays,causal,0.735
1,"A wooden dowel is inserted into a soft cushion, holding its shape",dowel inserts,cushion stays firm,causal,0.771
1,"A small container filled with beads is placed on a flat table, staying put",container sets,table stays clean,causal,0.750
1,"A delicate flower blooms in the warm sunlight, unfolding its petals",sunlight warms,petals unfold,causal,0.751
1,"A small child's toy car crashes into a pile of soft blocks, causing them to scatter",car crashes,blocks spread,inhibits,0.700
1,A dropped vase hits the hard wooden floor with a loud crack,vase drops,vase breaks,causal,0.735
1,"The heavy book falls off the shelf, crushing the small box below",book falls,box is crushed,causal,0.762
1,"A rope wraps around the wooden beam, constricting it tightly",rope wraps,beam is constricted,causal,0.826
1,The rolling marble comes to a stop on the soft carpet,marble rolls,marble stops,inhibits,0.700
1,"A bucket of water spills over the edge, flooding the floor",bucket spills,floor is flooded,causal,0.787
1,The metal rod bends and twists under the weight of the heavy chain,chain hangs,rod bends,causal,0.777
1,"A large stone falls from the cliff face, crashing into the lake below",stone falls,lake is disturbed,causal,0.738
1,The rope frays and snaps under the tension of the load,rope stretches,rope breaks,causal,0.714
1,A small boat is tossed about on the choppy ocean waves,waves crash,boat is tossed,causal,0.750
1,"The delicate vase teeters at the edge of the table, precariously balanced",vase balances,vase falls,causal,0.781
1,A small rock is dislodged from the hillside and tumbles down,rock rolls,hillside erodes,causal,0.762
1,"The piano key pops out of its socket, lying flat on the floor",key pops,key is loose,causal,0.748
1,A large metal pipe bends and twists under the pressure of the steam,steam builds,pipe bends,causal,0.753
1,"The branch snaps off in the stormy wind, falling to the ground",wind blows,branch breaks,causal,0.778
1,A small jar of liquid spills its contents onto the countertop,jar drops,liquid spills,causal,0.744
1,"The rope wraps around the sturdy tree trunk, securing it firmly",rope wraps,tree is secured,causal,0.821
1,"A large book falls off the shelf, landing with a thud on the floor",book falls,floor is disturbed,causal,0.768
1,The small stone is dislodged from its crevice and rolls away,stone is dislodged,crevice erodes,causal,0.771
1,A metal rod snaps in two under the stress of the heavy load,load hangs,rod breaks,causal,0.789
1,"The delicate flower petal falls from its stem, drifting gently down",petal drops,petal floats,causal,0.702
1,A small box of tools slips off the workbench and crashes to the floor,box slides,floor is cluttered,causal,0.756
1,"The large tree branch breaks off in the stormy wind, falling to the ground",wind blows,branch falls,causal,0.726
1,"A small rock tumbles down the rocky slope, picking up speed and momentum",rock rolls,slope erodes,causal,0.754
1,The metal rod bends under the weight of the heavy machinery,machine hangs,rod bends,causal,0.766
1,"A large piece of driftwood washes up on the sandy beach, half-buried in the sand",driftwood drifts,beach is shaped,causal,0.750
1,The small tool falls off the workbench and lands with a clatter on the floor,tool falls,floor is cluttered,causal,0.771
1,"A large snowball rolls down the icy slope, picking up speed and momentum",snowball rolls,slope erodes,causal,0.732
1,"The small jar of liquid tips over, spilling its contents onto the countertop",jar tilts,liquid spills,causal,0.789
1,A metal rod snaps in two under the stress of the heavy chain,chain hangs,rod breaks,causal,0.814
1,"The large book falls off the shelf, opening to a random page",book falls,page is revealed,causal,0.720
1,A small stone is dislodged from its crevice and tumbles down the rocky slope,stone is dislodged,slope erodes,causal,0.788
1,"The delicate flower stem breaks off at the base, lying flat on the ground",stem snaps,flower dies,causal,0.742
1,A small bucket of paint spills its contents onto the concrete floor,bucket tips,floor is stained,causal,0.774
1,"The large metal pipe bends under the pressure of the steam, hissing loudly",steam builds,pipe bends,causal,0.737
1,"The metal rod bends under the weight of the heavy load, straining its limits",load hangs,rod bends,causal,0.835
1,"The small jar of liquid spills its contents onto the countertop, pooling and spreading",jar drops,liquid pools,causal,0.770
1,A large metal pipe snaps in two under the stress of the heavy machinery,machine hangs,pipe breaks,causal,0.776
1,"The delicate flower petal falls from its stem, drifting gently down to the ground",petal drops,petal floats,causal,0.711
1,A small tool falls off the workbench and lands with a clatter on the floor,tool falls,floor is cluttered,causal,0.750
1,"The large book falls off the shelf, landing with a thud on the soft carpet",book falls,carpet is disturbed,causal,0.714
1,"The metal rod bends under the pressure of the heavy chain, creaking loudly",chain hangs,rod bends,causal,0.771
1,"A large piece of driftwood washes up on the rocky shore, half-buried in the sand",driftwood drifts,shore is shaped,causal,0.737
1,"A heavy book falls from a shelf, crushing a vase below",book falls,vase breaks,causal,0.798
1,"A kite crashes onto a rocky shore, its string tangled",kite crashes,string tangles,causal,0.747
1,A rolling bowling ball knocks down a row of pins,ball rolls,pins fall,causal,0.759
1,A dropped phone slips out of a person's hand and shatters on concrete,phone drops,screen cracks,causal,0.751
1,"A stack of plates teeters, then falls, shattering on the floor",plates fall,glass breaks,causal,0.736
1,A rubber duck floats to the surface of a bathtub and sinks,duck floats,duck sinks,causal,0.759
1,"A burst pipe sends water gushing out, flooding the room",pipe bursts,water floods,causal,0.723
1,A thrown frisbee soars through the air and lands in a lake,frisbee flies,frisbee sinks,causal,0.789
1,A chair leg breaks as someone tries to move it,chair leg breaks,leg snaps,causal,0.769
1,"A rope bridge collapses, sending people falling onto a trampoline",bridge collapses,people bounce,causal,0.734
1,"A bookshelf leans precariously, then crashes to the floor",bookshelf falls,books scatter,causal,0.737
1,A dropped hammer bounces off a hard floor with a loud clang,hammer drops,hammer clanks,causal,0.776
1,A deflated beach ball floats away on the surface of the water,ball deflates,ball drifts,causal,0.753
1,A spilled glass of juice forms a puddle on the counter,glass spills,juice spreads,causal,0.767
1,A falling branch breaks off a tree and crashes to the ground,branch falls,branch snaps,causal,0.734
1,A toy car rolls off a table and crashes onto the floor,car rolls,car crashes,causal,0.775
1,"A dropped pencil rolls away, picking up speed on a smooth surface",pencil drops,pencil rolls,causal,0.739
1,A burst of water from a firehose soaks a group of people,hose bursts,people get wet,causal,0.764
1,"A stack of blocks teeters, then falls, with blocks scattering",blocks fall,blocks scatter,inhibits,0.738
1,"A dropped umbrella blows away in the wind, its strap snapping",umbrella drops,strap snaps,causal,0.757
1,A thrown stone skips across a calm lake's surface,stone is thrown,stone skims,causal,0.774
1,"A book falls off a shelf, its pages fluttering in the breeze",book falls,pages flutter,causal,0.768
1,A fallen tree branch lies tangled in a garden's foliage,branch falls,branch tangles,causal,0.765
1,"A dropped paintbrush rolls away, leaving a trail of color",brush drops,paint spreads,causal,0.712
1,A burst of steam from a kettle shoots up into the air,kettle bursts,steam rises,causal,0.748
1,A thrown ball bounces high on a trampoline's surface,ball is thrown,ball bounces,causal,0.787
1,"A fallen leaf drifts to the ground, its stem snapping",leaf falls,stem snaps,causal,0.773
1,"A dropped tool rolls away, picking up speed on a smooth surface",tool drops,tool rolls,causal,0.772
1,"A burst of fireworks explodes in the night sky, showering sparks",fireworks explode,sparks fall,causal,0.756
1,"A stack of boxes teeters, then falls, with boxes scattering",boxes fall,boxes scatter,causal,0.768
1,A dropped phone slips out of a person's hand and lands in water,phone drops,phone gets wet,causal,0.757
1,A fallen branch breaks off a tree and crashes to the ground,branch falls,branch snaps,causal,0.724
1,"Rocks slide down a steep hillside, gathering speed and momentum",rocks roll,rocks gain speed,causal,0.800
1,"A book falls off the shelf, pages fluttering in mid-air",book falls,pages flutter,causal,0.760
1,"Water spills from a cracked pipe, flooding the surrounding area",pipe bursts,water floods,causal,0.777
1,"A hammer strikes an anvil with great force, producing a loud ring",hammer hits anvil,anvil rings,causal,0.722
1,"A fragile vase teeters on the edge of a table, threatening to fall",vase leans,vase falls,causal,0.764
1,Ice cubes crackle and shatter as they hit the hot pavement,ice hits road,ice cracks,causal,0.713
1,"A rope wraps around a wooden post, securing it tightly in place",rope wraps,post is secured,causal,0.826
1,"A ball bounces off the wall with great force, rebounding quickly",ball hits wall,ball rebounds,causal,0.719
1,"Sand pours from a bucket, slowly filling the surrounding area",sand flows,sand accumulates,causal,0.672
1,"A keychain falls to the ground, its contents scattering widely",keychain drops,keys scatter,causal,0.735
1,"A heavy weight lifts off a spring-loaded trapdoor, revealing a hidden compartment",weight rises,trapdoor opens,causal,0.772
1,A rubber band snaps back into shape after being stretched to its limit,band stretches,band returns,causal,0.765
1,"Pencils roll off the desk, gathering in a small pile on the floor",pencils fall,pencils accumulate,causal,0.743
1,A wire hanger bends and twists as it's manipulated into a new shape,wire is bent,hanger takes form,causal,0.772
1,"A box of fragile items falls, its contents spilling out in all directions",box falls,items scatter,causal,0.784
1,A metal rod slides down a smooth surface with minimal friction,rod glides,rod moves,causal,0.780
1,"A rope wraps around a tree trunk, securing it firmly in place",rope binds,tree is secured,causal,0.809
1,"A jar lid comes loose, slowly opening to reveal the contents",lid opens,jar opens,causal,0.675
1,A paper clip bends and twists as it's manipulated into a new shape,clip is bent,clip takes form,causal,0.721
1,A wooden beam creaks and groans as it stretches under load,beam flexes,beam creaks,causal,0.727
1,"A stack of books teeters on the edge of a table, threatening to fall",books balance,books topple,causal,0.736
1,"A metal bucket falls from a great height, crashing onto the ground below",bucket drops,bucket crashes,causal,0.763
1,"A leaf floats down a stream, gently drifting towards its destination",leaf flows,leaf arrives,causal,0.712
1,"A wooden block falls from a shelf, striking the floor with a loud thud",block falls,block hits,inhibits,0.685
1,"A glass vase teeters on the edge of a table, threatening to shatter",vase leans,vase breaks,causal,0.724
1,"A rope ladder unwinds and falls, its rungs clattering on the ground",ladder unwinds,ladder falls,causal,0.783
1,A metal rod bends and twists as it's manipulated into a new shape,rod is bent,rod takes form,causal,0.737
1,"A heavy load compresses a spring, storing energy for later release",load presses,spring stores energy,causal,0.788
1,"A stack of papers falls from a desk, scattering widely across the floor",papers fall,papers scatter,causal,0.772
1,"A rope wraps around a tree branch, securing it firmly in place",rope binds,branch is secured,causal,0.808
1,"A metal can falls from a great height, crashing onto the ground below",can drops,can crashes,causal,0.761
1,"A wooden beam flexes under load, slowly sagging towards the ground",beam flexes,beam sags,causal,0.725
1,"A key falls from a keychain, rolling across the floor",key drops,key rolls,causal,0.759
1,"A pile of sand slowly erodes away, carried off by the wind",sand blows,sand is carried away,causal,0.685
1,"A wooden box falls from a shelf, striking the floor with a loud thud",box falls,box hits,causal,0.730
1,A metal pipe bends and twists as it's manipulated into a new shape,pipe is bent,pipe takes form,causal,0.755
1,"A glass jar shatters on the floor, its contents spilling out widely",jar breaks,contents spill,causal,0.728
1,"A metal rod unwinds from a coil, slowly extending its length",rod unwinds,rod extends,causal,0.748
1,"A stack of books teeters on the edge of a table, threatening to topple",books balance,books fall,causal,0.734
1,"A metal can falls from a great height, rolling across the floor",can drops,can rolls,causal,0.733
1,"A rope wraps around a wooden post, securing it firmly in place",rope binds,post is secured,causal,0.767
1,"A paper falls from a desk, drifting slowly to the floor",paper drops,paper falls,causal,0.726
1,A metal rod glides down a smooth surface with minimal friction,rod glides,rod moves,causal,0.735
1,A wooden beam bends and twists as it's manipulated into a new shape,beam is bent,beam takes form,causal,0.738
1,"A keychain falls from a keyring, scattering widely across the floor",keychain drops,keys scatter,causal,0.785
1,"A metal bucket lifts off the ground, slowly rising into the air",bucket rises,bucket hovers,causal,0.734
1,"A dropped phone slips down a staircase, landing with a soft thud",phone drops,phone lands safely,causal,0.732
1,"A vase precariously perches on the edge of a table, waiting to fall",vase teeters,vase shatters,causal,0.720
1,A book falls off a shelf and lands flat on its cover,book drops,book lies open,causal,0.764
1,"A small rock rolls down a hill, picking up speed as it goes",rock rolls,rock gains momentum,causal,0.740
1,"A cup of coffee is accidentally knocked over, spilling its contents",cup tips,coffee spills,causal,0.788
1,"A bicycle wheel leans precariously against a wall, threatening to topple",wheel wobbles,wheel falls,causal,0.775
1,A stack of blocks teeters on the verge of collapse,blocks sway,blocks fall,inhibits,0.736
1,"A pencil lies flat on a desk, ready to be picked up",pencil rests,pencil remains still,causal,0.774
1,"A water balloon bursts in mid-air, releasing its contents",balloon pops,water spills,causal,0.733
1,"A small toy car zooms down a ramp, gaining speed and momentum",car speeds up,car gains momentum,causal,0.733
1,"A picture frame hangs crookedly on the wall, threatening to fall",frame leans,frame falls,causal,0.767
1,A chain of dominoes stands poised to topple over,dominoes sway,dominoes fall,causal,0.738
1,"A small hammer lies flat on a workbench, ready for use",hammer rests,hammer remains still,causal,0.745
1,A ball of yarn unwinds slowly across the floor,yarn unravels,yarn spreads out,causal,0.691
1,"A bookshelf precariously leans against a wall, threatening to topple",bookshelf wobbles,bookshelf falls,causal,0.748
1,"A small marble rolls across the floor, picking up speed as it goes",marble rolls,marble gains momentum,causal,0.726
1,A set of juggling balls hangs suspended in mid-air,balls hang,balls remain still,causal,0.753
1,"A large fan blows leaves across the room, rustling them gently",fan blows,leaves blow,causal,0.745
1,"A small toy plane zooms through the air, performing a loop-the-loop",plane soars,plane loops,causal,0.766
1,A stack of books teeters on the verge of collapse,books sway,books fall,causal,0.721
1,"A set of stacked cups falls over, clattering to the floor",cups topple,cups break,causal,0.759
1,A small robot arm raises its mechanical hand to grasp something,arm raises,hand extends,causal,0.757
1,"A set of dominoes lies flat on a table, waiting to be knocked over",dominoes rest,dominoes fall,causal,0.729
1,A small toy car drives off the edge of a ramp and crashes,car drives off,car crashes,causal,0.764
1,"A large book falls open on its cover, revealing colorful pages",book drops,book opens,causal,0.752
1,"A set of nesting dolls stands upright on a table, waiting to be knocked over",dolls stand,dolls fall,causal,0.761
1,"A small marble rolls up the leg of a chair, slowly making its way up",marble rolls,marble reaches top,causal,0.674
1,A set of stacked blocks teeters on the verge of collapse,blocks sway,blocks fall,inhibits,0.693
1,"A small toy train chugs along a track, carrying tiny cars with it",train moves,cars move,causal,0.767
1,"A book falls open on its cover, revealing colorful pages",book drops,book opens,causal,0.718
1,"A book is tossed onto a pile of dusty tomes, causing a collapse",book thrown,books fall,causal,0.772
1,"A dropped vase lands on the edge of a table, wobbling precariously",vase falls,vase teeters,causal,0.710
1,A block is stacked too high and topples over with a crash,block falls,blocks collapse,inhibits,0.704
1,A burst of water from a leaky faucet soaks the surrounding countertop,water leaks,countertop gets wet,causal,0.784
1,"A rope securing a load is cut, causing it to slide down the incline",rope cut,load slides,causal,0.743
1,A dropped key lands on the edge of a table and rolls away slowly,key falls,key rolls,causal,0.745
1,"A tree branch sways in the wind, knocking over a nearby trash can",wind blows,trash can tips,causal,0.780
1,A dropped phone slips off the edge of a table and falls to the floor,phone falls,phone drops,causal,0.748
1,"A rope is wrapped too tightly around a tree trunk, causing it to snap",rope tightens,rope breaks,causal,0.766
1,A dropped jar lands on the edge of a table and wobbles precariously,jar falls,jar teeters,causal,0.787
1,A burst of steam from an open kettle fills the surrounding air,kettle whistles,steam rises,causal,0.736
1,"A dropped ruler is caught by a nearby pencil, momentarily halting its fall",ruler falls,pencil catches,causal,0.762
1,"A rope securing a load is loosened, causing it to slide down the incline",rope loosens,load slides,causal,0.783
1,A dropped book lands on the edge of a shelf and teeters precariously,book falls,book teeters,causal,0.717
1,"A tree branch sways in the wind, knocking over a nearby garden statue",wind blows,statue tips,causal,0.756
1,A dropped camera slips off the edge of a table and falls to the floor,camera falls,camera drops,causal,0.753
1,"A rope is wrapped loosely around a tree trunk, causing it to slip down",rope loosens,rope slides,causal,0.768
1,A dropped vase lands on the edge of a table and wobbles precariously,vase falls,vase teeters,causal,0.785
1,A burst of water from a leaky faucet soaks the surrounding carpet,water leaks,carpet gets wet,causal,0.783
1,"A block is stacked too high and topples over with a crash, shattering on impact",block falls,blocks break,inhibits,0.674
1,"A rope securing a load is cut, causing it to swing back and forth",rope cut,load swings,causal,0.781
1,A dropped phone slips off the edge of a table and rolls away slowly,phone falls,phone rolls,causal,0.684
1,"A rope is wrapped too tightly around a tree trunk, causing it to snap in half",rope tightens,rope breaks,causal,0.824
1,"A burst of steam from an open kettle fills the surrounding air, fogging up windows",kettle whistles,fog forms,causal,0.790
1,A dropped book lands on the edge of a shelf and falls off with a thud,book falls,book drops,causal,0.742
1,"A tree branch sways in the wind, knocking over a nearby flower pot",wind blows,pot tips,causal,0.750
1,A dropped mug slips off the edge of a table and rolls away slowly,mug falls,mug rolls,causal,0.745
1,"A rope securing a load is loosened, causing it to slide down the incline slowly",rope loosens,load slides,causal,0.747
1,A dropped vase lands on the edge of a table and shatters into pieces,vase falls,vase breaks,causal,0.784
1,A burst of water from a leaky faucet soaks the surrounding tile floor,water leaks,floor gets wet,causal,0.780
1,"A block is stacked too high and topples over with a crash, bouncing on impact",block falls,blocks bounce,inhibits,0.661
1,"A rope securing a load is cut, causing it to swing back and forth wildly",rope cut,load swings,causal,0.755
1,A dropped phone slips off the edge of a table and falls to the floor with a clunk,phone falls,phone drops,causal,0.719
1,"A rope is wrapped loosely around a tree trunk, causing it to slip down slowly",rope loosens,rope slides,causal,0.749
1,A dropped jar lands on the edge of a table and wobbles precariously before falling,jar falls,jar teeters then drops,causal,0.733
1,A dropped book lands on the edge of a shelf and falls off with a soft thud,book falls,book drops,causal,0.789
1,"A tree branch sways in the wind, knocking over a nearby garden trellis",wind blows,trellis tips,causal,0.753
1,"A dropped mug slips off the edge of a table and rolls away slowly, eventually stopping",mug falls,mug stops,inhibits,0.660
1,"A rope securing a load is cut, causing it to swing back and forth wildly before falling",rope cut,load swings then drops,causal,0.785
1,A dropped vase lands on the edge of a table and shatters into small pieces,vase falls,vase breaks,causal,0.778
1,"A burst of water from a leaky faucet soaks the surrounding carpet, forming a puddle",water leaks,puddle forms,causal,0.747
1,"A block is stacked too high and topples over with a crash, bouncing multiple times before coming to rest",block falls,blocks bounce then stop,inhibits,0.675
1,"A rope securing a load is cut, causing it to swing back and forth wildly before finally coming to rest",rope cut,load swings then stops,causal,0.719
1,A dropped phone crashes onto a hardwood floor with a loud crack,phone drops,screen shatters,causal,0.723
1,A careless swing of a golf club breaks a delicate vase,golf club swings,vase breaks,causal,0.747
1,A box falls from a shelf and lands on its side with a thud,box falls,box tilts,causal,0.731
1,A bicycle tire gets punctured by a sharp rock on the road,tire hits rock,tire deflates,causal,0.725
1,"A rope suddenly snaps, sending a load of bricks crashing down",rope breaks,bricks fall,causal,0.769
1,A wooden beam splinters as it's pulled apart with force,beam is pulled,beam splits,causal,0.773
1,A metal pipe bends and twists under the pressure of a heavy load,pipe is bent,pipe distorts,causal,0.805
1,A delicate flower wilts as it's submerged in water too long,flower gets wet,flower wilts,causal,0.771
1,A stack of plates teeters on the edge of a table and topples over,plates get pushed,plates fall,causal,0.724
1,A fragile ornament shatters as it's dropped from a height,ornament falls,ornament breaks,causal,0.778
1,"A bookshelf tips over, spilling books and causing chaos",bookshelf tilts,books fall,causal,0.782
1,A rubber band snaps back with enough force to break a glass jar,rubber band snaps,jar breaks,causal,0.776
1,"A chair leg gets stuck in the carpet, making it impossible to move",chair leg gets stuck,chair is immobile,causal,0.751
1,A set of weights clatters to the ground as they're dropped from a rack,weights fall,weights scatter,causal,0.717
1,"A fire extinguisher gets knocked over, spraying foam everywhere",extinguisher is knocked,foam sprays,causal,0.764
1,A pile of sand collapses under the weight of a heavy object,sand gets compacted,sand falls,causal,0.775
1,A picture frame shatters as it's accidentally knocked off a wall,frame is knocked,glass breaks,causal,0.721
1,A stack of blocks teeters on the edge and eventually topples over,blocks get pushed,blocks fall,inhibits,0.686
